,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"c[1, 82]",-0.286,0.16,-0.54,-0.017,0.002,0.002,4547.0,3515.0,1.0
"c[1, 83]",0.205,0.151,-0.046,0.449,0.002,0.002,5941.0,3131.0,1.0
"c[1, 84]",-0.485,0.198,-0.826,-0.176,0.003,0.003,3299.0,2394.0,1.0
"c[1, 85]",0.989,0.166,0.716,1.261,0.002,0.002,6525.0,2907.0,1.0
"c[1, 86]",0.453,0.154,0.217,0.723,0.002,0.002,4568.0,3156.0,1.0
"c[1, 87]",1.295,0.198,0.968,1.615,0.003,0.002,4787.0,3284.0,1.0
"c[1, 88]",0.331,0.145,0.099,0.577,0.002,0.002,4911.0,2780.0,1.0
"c[1, 89]",0.481,0.146,0.228,0.706,0.002,0.002,4269.0,2827.0,1.0
"c[1, 90]",0.618,0.15,0.383,0.872,0.002,0.001,6689.0,3106.0,1.0
"c[1, 91]",0.99,0.166,0.727,1.272,0.002,0.002,6461.0,3382.0,1.0
"c[1, 92]",0.936,0.161,0.667,1.194,0.002,0.002,5116.0,3275.0,1.0
"c[1, 93]",0.69,0.163,0.432,0.973,0.002,0.002,5919.0,2897.0,1.0
"c[1, 94]",1.292,0.195,0.969,1.609,0.002,0.002,7343.0,2848.0,1.0
"c[1, 95]",0.902,0.171,0.634,1.195,0.002,0.002,5591.0,3270.0,1.0
"c[1, 96]",1.093,0.174,0.785,1.359,0.002,0.002,6669.0,2625.0,1.0
"c[1, 97]",0.53,0.159,0.254,0.78,0.002,0.001,6654.0,2933.0,1.0
"c[1, 98]",1.42,0.203,1.083,1.74,0.003,0.002,5353.0,3164.0,1.0
"c[1, 99]",1.095,0.175,0.798,1.372,0.002,0.002,6824.0,2645.0,1.0
"H[0, 0]",0.844,0.068,0.739,0.952,0.001,0.001,3269.0,2698.0,1.0
"H[0, 1]",0.913,0.053,0.836,0.991,0.001,0.001,3707.0,2764.0,1.0
